头像,评论,手机信息
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmcLvkxuMFHbXmkGPFHyvmNGPGPHvm*eMCcYMCQGPFNL&width=40&height=40&type=sns,显示效果: 屏幕清晰 运行速度: 反应速度快 拍照效果: 拍照好看 电池续航: 正常使用14个小时可以 总结: 总体挺满意，音质很好，拍照好看,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:港澳台
//assets.alicdn.com/app/sns/img/default/avatar-40.png,15天内买家未作出评价,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//assets.alicdn.com/app/sns/img/default/avatar-40.png,显示效果: 非常的流畅 运行速度: 很快很快 拍照效果: 像素很高 电池续航: 玩游戏的话一天用一次吧 总结: 很不错 非常的好,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:套餐一&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGx4PG8bXF--OHlHOFkSvmNuPGvSMHk0PCvYMGQ4MmgG&width=40&height=40&type=sns,显示效果: 色彩鲜艳，之前用的6，X完胜！ 运行速度: 运行流畅，速度很快！棒！ 拍照效果: 拍照清晰，色彩饱和度都超级棒！ 电池续航: 打开手机有一半的电，玩了一晚上第二天中午才充电的 总结: 买的亚太版本，很好，不影响基本使用，终于把6换掉了，哈哈哈哈，棒呆！慢慢习惯面部解锁，超nice！,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGx4PG8bXF--OHlHOFkSvm9-XFcYX8*zM0xLPG*IP08y&width=40&height=40&type=sns,显示效果: 非常棒，显示很好，拿到手机之后，就感觉自己年初出于&ldquo;爱国情怀&rdquo;花了4000大洋买的华为mate10是个渣渣， 运行速度: 打开任何软件都是一秒不到，真正体验到了快速，国产手机吹得厉害，但是差距不是一般大 拍照效果: 拍照效果挺不错的，我是男生自用，所以还没拍多少，到时候体验好了再追加评论 电池续航: 续航玩农药的话需要一天两充，手机电池会略微发烫，不过也是正常的 总结: 手机总体很惊艳到我，钱没有白花，建议大家有需要的话直接下单，我买的256G美版，店家很好很积极，晚上8点多下的单，9点不到就直接发了顺丰，我本人也在深圳，所以第二天上午就收到货了,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbM07HvG8SvFI0Xm7Hvm80MkZeMCPIvkxbvG7HvFZ-OFMH&width=40&height=40&type=sns,"显示效果: 漂亮 运行速度: 超级溜 拍照效果: 照片很细腻 电池续航: 不玩游戏到晚上还有一小半吧 总结: 很不错,超喜欢ios系统,就是流畅到没朋友，虽然价格贵但是无论外观还是性能各方面真的没话说的",机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:套餐一&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:中国大陆
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbM07HvG8SvFI0Xm7Hvm80MkxLP8PzvH8SPFkYvGN4OmRI&width=40&height=40&type=sns,显示效果: 很棒 运行速度: 滑动起来速度非常快，十分顺畅不卡顿 拍照效果: 拍照清晰，成像质量佳 电池续航: 一天充电一次完全可以 总结: 手机发货速度很快，拿到手里十分满意，没有问题 是正品 推荐购买,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//assets.alicdn.com/app/sns/img/default/avatar-40.png,15天内买家未作出评价,机身颜色:澳门版深空灰 三网通 原封&nbsp;&nbsp套餐类型:套餐一&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmcLvkxuMFHbXmkGPFHyvm9hPmHLvGcLPCguPkcYv8xb&width=40&height=40&type=sns,显示效果: 相当惊艳 运行速度: 丝般顺滑 拍照效果: 效果震撼 电池续航: 一天一充 总结: 港版比我原来那个行货8p做工要精致，很不错的机器,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmNuPGcSPk84MGl-vHPzO88LPkPIPHxWPFQYPFIbP0Zh&width=40&height=40&type=sns,显示效果: 完美 运行速度: 完美 拍照效果: 非常棒 电池续航: 不玩游戏一天一冲 总结: 非常棒的购物体验 下次还来买,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmZ-MGQLOHcyM8ZeM0xuXmcyPH7hvGxbvFcYMm80PkgW&width=40&height=40&type=sns,显示效果: 非常好  屏幕色彩效果非常鲜艳  看久了眼镜也不会疲惫 运行速度: 运行速度非常快  用了好久  没有一丝卡顿 拍照效果: 像素特别好  拍出来也特别好看 电池续航: 我是一天充一次电的  续航也可以 总结: 非常好  非常nice,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:套餐四&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:中国大陆
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXHxSvGgSOFHbMkZHXHkbPCxLPmRHO8QWOFRHP0ZhvGIL&width=40&height=40&type=sns,显示效果: 挺好的，个人不喜欢原彩的黄，好在设置可以调节 运行速度: 买了快一个月了 目前出现过一次卡死 拍照效果: X拍照很好看，特别是人像，大家可以试试摄影室灯光 电池续航: 很经用，我之前用过的任何一台iphone的电池都没x耐用 总结: 还是很不错的，也没查序列号什么的,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGIWMF*eMG9hvGlzvHkWPmRhvFxLX8kYOmHyvF9eOF-e&width=40&height=40&type=sns,显示效果: 可以 运行速度: 有点卡 拍照效果: 还可以 电池续航: 还可以 总结: 用了才几天，就有时候有点卡顿，一次打电话还自动挂了，一直卡在挂电话后的页面，关机都关不了，还不能黑屏,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXHP-O8RhMCHbXHkbM0QuOH7IM0cyO8cSPmvuPH8uPCcb&width=40&height=40&type=sns,显示效果: 屏幕分辨率太清晰了大爱 运行速度: 飞一般的速度 拍照效果: 拍照效果也很高清 电池续航: 刚拿到机子电池续航用后评论 总结: 总的来说很满意，日想夜想的触感,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=Xmhzv8xLX8cbP0lhOmcSPmcLOH8LPG80XFR-P8c4PGMePkkbvGNSPCxyvGPIPHQG&width=40&height=40&type=sns,显示效果: 手机很好 运行速度: 顺畅是全新机 拍照效果: 很好 电池续航: 还在使用中，目前很好 总结: 手机第二天拿到了，很不错，全新未激活原装机,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:256GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGx4PG8bXF--OHlHOFkSvmNSOH8yvkgWvC-zvHPHvGk4&width=40&height=40&type=sns,显示效果: 效果真的很好， 运行速度: 苹果的不中说 拍照效果: 杠杠的 电池续航: 还可以 总结: 我也算是一个老淘宝了！一年下来不淘个三五万的东西就手痒！还有了人生第一辆车，购物车🛒！淘宝确实是方便快捷，有些东西去商场买又费时间又费金钱！我们这里是个小地方，有些东西跟本就没有卖的，淘宝货比三家就搞定，送货到家，太方便了！这次拍的这款东东价格实惠，有买有优惠，老板的服务态度也不错，发货速度快，已经开始用上了，质量真心不错，下次还会光顾的！在此祝愿老板天天生意兴隆，财源滚滚而来！,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:亚太
//assets.alicdn.com/app/sns/img/default/avatar-40.png,还行吧！在爱思上查是什么官翻机。问了卖家说有质保，第三方查的不准确什么之类的！我也没打算退，系统用起来还行吧，就是有点发烫，还有充电器可能不是原装的吧！因为我看着标识什么的都没他们的清楚，而且充电器就充一会儿也发烫。,机身颜色:iPhone X 银色 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:亚太
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbM0x0MmQWPCZzv0kyPFleX8gWv08WMGHWP0QyPF-IO8QW&width=40&height=40&type=sns,显示效果: 显示效果很好，颜色很好，像素很好 运行速度: 运行速度很快 拍照效果: 拍照很非常好 电池续航: 电池续航不错 总结: 很不错，只是比想象中小了点。各放面都很好。卖家还了小礼品。,机身颜色:澳门版深空灰 三网通 原封&nbsp;&nbsp套餐类型:套餐三&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXH8YPkRhPGkYPCHSXm7ePFc0PGRHMkxuv8Z-vH84v8Pe&width=40&height=40&type=sns,显示效果: 屏幕显示非常好 运行速度: 非常流畅 吃鸡王者秒杀 拍照效果: 拍照也挺好的 电池续航: 不玩游戏一天一充吧 玩游戏容易发烫 总结: 客服的服务态度非常好 我不懂很耐心的教我 第一次在网上买那么贵也是害怕 拿到手机就是一个惊喜,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:套餐一&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbMGQbvFcbPGl-MFNSMFkyvGc4PGHGX880MHZ-PmQGO884&width=40&height=40&type=sns,显示效果: 显示非常不错 运行速度: 运行也比6快多了 拍照效果: 拍照超级赞 电池续航: 电池 我玩王者荣耀 充满可以玩很久 以前6上玩6局 基本没电了 总结: 是正品 非常推荐的 我的是港版,机身颜色:iPhone X 深空灰 原封&nbsp;&nbsp套餐类型:官方标配&nbsp;&nbsp存储容量:64GB&nbsp;&nbsp版本类型:港澳台
